scenario,admission_rate_mean,admission_rate_ci_low,admission_rate_ci_high,rejection_rate_mean,rejection_rate_ci_low,rejection_rate_ci_high,avg_wait_hours_mean,avg_wait_hours_ci_low,avg_wait_hours_ci_high,avg_machine_utilization_mean,avg_machine_utilization_ci_low,avg_machine_utilization_ci_high,peak_queue_length_mean,peak_queue_length_ci_low,peak_queue_length_ci_high,pct_time_queue_full_mean,pct_time_queue_full_ci_low,pct_time_queue_full_ci_high,pct_time_under_pressure_mean,pct_time_under_pressure_ci_low,pct_time_under_pressure_ci_high,avg_cycle_time_hours_mean,avg_cycle_time_hours_ci_low,avg_cycle_time_hours_ci_high,rejection_rate_low_priority_mean,rejection_rate_low_priority_ci_low,rejection_rate_low_priority_ci_high,rejection_rate_medium_priority_mean,rejection_rate_medium_priority_ci_low,rejection_rate_medium_priority_ci_high,rejection_rate_high_priority_mean,rejection_rate_high_priority_ci_low,rejection_rate_high_priority_ci_high,scrap_rate_mean,scrap_rate_ci_low,scrap_rate_ci_high,avg_machine_downtime_fraction_mean,avg_machine_downtime_fraction_ci_low,avg_machine_downtime_fraction_ci_high
base,0.9533796981880108,0.950714029513502,0.9560453668625196,0.12541869877275175,0.12190727175510807,0.12893012579039542,0.12348032401756992,0.11515541186979264,0.1318052361653472,0.5914891304347826,0.5870526081009895,0.5959256527685757,5.966666666666667,5.545079290696719,6.388254042636615,0.0002898550724637681,-2.8723375598676648e-05,0.0006084335205262129,0.12355072463768116,0.11715246525442222,0.1299489840209401,3.8507996805317077,3.8244931359545546,3.877106225108861,0.12039352495160736,0.11473480881118855,0.12605224109202617,0.12384579729357409,0.11936032536768713,0.12833126921946103,0.132407714904523,0.1250810674596931,0.13973436234935288,0.07230023920400995,0.0702475710418961,0.0743529073661238,0.016362318840579714,0.015468772131667464,0.017255865549491965
capacity,0.9923148388593409,0.991355851796795,0.9932738259218868,0.09097074140445026,0.08828401240398856,0.09365747040491196,0.020964168559321483,0.018806473155669023,0.023121863962973943,0.4774581939799331,0.4729812622416151,0.48193512571825114,4.533333333333333,4.035887871939291,5.030778794727375,0.0,0.0,0.0,0.022898550724637683,0.02080189224453043,0.024995209204744937,3.7408095120624347,3.7200072445960854,3.761611779528784,0.08799695351072662,0.08304312412678498,0.09295078289466825,0.0923248229036734,0.08792529915822737,0.09672434664911943,0.09203644962184974,0.08777141073553696,0.09630148850816253,0.07660734093127448,0.07439597740798075,0.07881870445456822,0.016064659977703455,0.015473713838667155,0.016655606116739757
policy_priority,0.950411841832734,0.9472468440111047,0.9535768396543632,0.12823488330457755,0.12398301467335071,0.1324867519358044,0.12866133523041845,0.11977197701293685,0.13755069344790005,0.5879202898550725,0.5822081926415069,0.5936323870686381,6.6,6.165864314696292,7.034135685303707,0.0003260869565217391,0.00010895003764567414,0.0005432238753978041,0.1294927536231884,0.12212370441871272,0.13686180282766408,3.8561385193683035,3.8307883271083174,3.8814887116282897,0.13636366913229114,0.12965121348451075,0.14307612478007153,0.12777713160452817,0.12225885733084883,0.1332954058782075,0.12087977489390424,0.11534672688679252,0.12641282290101596,0.0714678821121589,0.06879002898348682,0.07414573524083098,0.016152173913043476,0.015504734303537498,0.016799613522549457
demand_surge,0.8795613383006378,0.8755460435652702,0.8835766330360053,0.19426367854921694,0.190067292047137,0.1984600650512969,0.3193126140611504,0.3090347367447247,0.3295904913775761,0.6873550724637684,0.684603496788673,0.6901066481388637,7.766666666666667,7.60603366946266,7.927299663870674,0.0025,0.0016597080768805247,0.0033402919231194754,0.3076086956521739,0.300384240189639,0.31483315111470883,3.998594307894942,3.970799890939493,4.026388724850392,0.17199776799115038,0.16667693968792088,0.17731859629437988,0.19288428382689482,0.18689863178244717,0.19886993587134247,0.21852908355939152,0.211544652889215,0.22551351422956803,0.0672265566316799,0.0651477547790657,0.06930535848429409,0.015373188405797102,0.014569122157764338,0.016177254653829864
priority_demand_surge,0.8652889685437336,0.8598404819370864,0.8707374551503808,0.20973740151116865,0.2048485391085874,0.2146262639137499,0.3419561520495301,0.32878548552611037,0.35512681857294986,0.6933297101449277,0.6887960402874412,0.6978633800024142,7.966666666666667,7.898492345262244,8.03484098807109,0.004094202898550724,0.0030680538542898718,0.005120351942811577,0.3388043478260869,0.3284624515059037,0.34914624414627016,4.10889814145974,4.077671721392308,4.140124561527172,0.2509447608608183,0.2410809134844195,0.2608086082372171,0.20563082508455216,0.19967962973889933,0.211582020430205,0.17400167196979524,0.16834073635235244,0.17966260758723804,0.06857980275170518,0.06697599906924634,0.07018360643416402,0.016072463768115944,0.01529907508673117,0.01684585244950072
