scenario,replication,seed,admission_rate,rejection_rate,avg_wait_hours,avg_machine_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_cycle_time_hours,rejection_rate_low_priority,rejection_rate_medium_priority,rejection_rate_high_priority,scrap_rate,avg_machine_downtime_fraction,n_jobs
base,0,811612985,0.9481481481481482,0.13209876543209875,0.14124900133643173,0.5889130434782608,7,0.0,0.12391304347826088,3.8006232195992737,0.1257606490872211,0.11075441412520064,0.16468253968253968,0.07839506172839507,0.014021739130434783,1620
base,1,331667467,0.9494139420111043,0.1307834669956817,0.14997130690317872,0.605108695652174,6,0.0,0.15108695652173912,3.9700107018416717,0.13704496788008566,0.11993769470404984,0.138671875,0.07464528069093153,0.01608695652173913,1621
base,2,2098544484,0.9534005037783375,0.13350125944584382,0.10816399541870884,0.5841304347826086,6,0.0,0.10869565217391304,3.813060080956805,0.13737373737373737,0.11937984496124031,0.14955357142857142,0.07682619647355164,0.015217391304347827,1588
base,3,1618598966,0.9547218628719275,0.13065976714100905,0.1129752098678551,0.5719565217391305,6,0.0,0.10869565217391304,3.8394326262545784,0.1419491525423729,0.11726384364820847,0.13695652173913042,0.07438551099611902,0.01641304347826087,1546
base,4,1237992335,0.9573791348600509,0.13740458015267176,0.08708586288457075,0.576195652173913,6,0.0,0.10434782608695652,3.6872011245507688,0.12217194570135746,0.13444108761329304,0.15598290598290598,0.08078880407124682,0.021521739130434783,1572
base,5,758046817,0.9457647775746496,0.125533211456429,0.1508048735511911,0.59,7,0.0,0.13695652173913042,3.8418339973116415,0.10887096774193548,0.12558139534883722,0.142,0.06642291285801341,0.013369565217391305,1641
base,6,377440186,0.9543464665415885,0.11131957473420888,0.1086809332091899,0.5714130434782609,6,0.0,0.11195652173913044,3.7023893012401765,0.11300639658848614,0.11044776119402985,0.1108695652173913,0.060662914321450906,0.012934782608695652,1599
base,7,2144317203,0.953714981729598,0.12545676004872108,0.11714939868542341,0.5985869565217392,6,0.0,0.11956521739130435,3.799524558031015,0.1172962226640159,0.11297709923664122,0.15082644628099173,0.0712545676004872,0.015869565217391305,1642
base,8,1664371685,0.9415094339622642,0.1459119496855346,0.1589483682094797,0.5890217391304349,8,0.0010869565217391304,0.14456521739130435,3.967433547406327,0.15176715176715178,0.10849056603773585,0.19027484143763213,0.08364779874213836,0.015217391304347827,1590
base,9,1283765054,0.9660804020100503,0.11369346733668342,0.12908448536901931,0.5747826086956522,5,0.0,0.12282608695652174,3.7520232009364642,0.10537190082644628,0.11201298701298701,0.12398373983739837,0.07097989949748744,0.014891304347826087,1592
base,10,803819536,0.9341389728096676,0.15045317220543808,0.16519873994398976,0.5953260869565218,7,0.0,0.14565217391304347,3.873329847915418,0.13592233009708737,0.13803230543318648,0.18518518518518517,0.07613293051359517,0.020326086956521737,1655
